id,address
143899,3242 W IOWA AVE
145234,677 VRAIN ST APT 8
146764,885 TENNYSON ST
147155,5050 DEEPHAVEN CT
147162,4847 W TENNESSEE AVE
148361,5330 ALTURA ST
2169354,8335 FAIRMOUNT DR UNIT 2-201
151521,2825 N JOSEPHINE ST
156852,2805 N DOWNING ST
159974,760 S KRAMERIA ST
159983,4520 W TENNESSEE AVE
160848,648 TENNYSON ST
160851,8770 E YALE AVE APT D
160855,2234 S DEXTER ST
164336,1890 S SHOSHONE ST
164680,4135 JACKSON ST
164682,361 RALEIGH ST
164712,2630 ARAPAHOE ST
164721,1200 VINE ST APT 7B
164724,12953 LACKLAND DR
165449,5480 E EVANS AVE
165455,3351 MARIPOSA ST
165460,2516 S KNOX CT
165470,1380 S OSAGE ST
165472,226 S STUART ST
165878,5160 CRYSTAL ST
165886,4365 DAVENPORT WAY
165896,13123 LACKLAND DR
165905,3075 W ARIZONA AVE
165910,1735 S SHOSHONE ST
165917,3434 S LOCUST ST APT A
165927,20320 E 40TH AVE
169225,1705 W STOLL PL
169246,19440 E 45TH AVE
169257,926 S TENNYSON ST
169260,5070 SABLE ST
169266,1849 W 41ST AVE
169271,4400 S QUEBEC ST APT H204
169273,3905 KIRK ST
169287,3841 N HIGH ST
170874,3547 W KENTUCKY AVE
174363,4495 CRYSTAL ST
174368,4859 CROWN BLVD
174373,3233 W 1ST AVE
174376,12860 E 48TH AVE
174380,15475 ANDREWS DR UNIT 314
176005,379 S RARITAN ST
176014,4578 FRANKFORT WAY
176038,3635 WOLFF ST
176044,20861 E 45TH AVE
178182,9700 E ILIFF AVE APT A6
178185,1020 15TH ST APT 33A
180384,2210 W GILL PL
186505,13633 MAXWELL PL
186514,480 S MARION PKWY APT 1701
186518,3435 W WALSH PL
187052,4525 ENSENADA ST
187056,15043 E 50TH AVE
188502,1563 QUEBEC ST
189055,9350 E GIRARD AVE APT 7
190042,1833 S PERRY WAY
190048,20541 E 45TH AVE
190054,3940 W BYRON PL
190058,1956 WABASH ST
192646,2325 S IRVING ST
201935,3855 S MONACO PKWY APT 266
201937,4592 FRASER WAY
202364,1243 OSCEOLA ST
202368,4640 WILLIAMS ST
202374,125 S NEWTON ST
207842,1825 S LINCOLN ST
207848,4700 LEAF CT
209787,3109 FEDERAL BLVD
213257,2610 S LOWELL BLVD
229970,2515 OLIVE ST
229980,2929 W FLOYD AVE APT 223
229983,4866 CROWN BLVD
229988,4571 MALAYA ST
230000,5188 DULUTH CT
230006,5555 BEDFORD CT
230012,215 GROVE ST
230994,4982 JASPER ST
230996,4564 AUCKLAND CT
230997,21585 E 39TH AVE
231003,73 N LINCOLN ST
231007,3500 N FILLMORE ST
231008,134 S QUITMAN ST
231013,175 S EMERSON ST
231016,646 S LINCOLN ST
231030,4861 DULUTH CT
231036,220 S HOLLY ST APT 2
231045,1515 E 9TH AVE APT 107
231047,1320 S RALEIGH ST
231050,9255 E LEHIGH AVE APT 238
231052,4385 S BALSAM ST UNIT 2-102
231067,3725 W UNION AVE
231075,3705 ZUNI ST
233445,5061 SHERMAN ST
233449,3235 W CONEJOS PL
233457,715 OSCEOLA ST
235576,4555 W GILL PL
235581,1050 N WASHINGTON ST APT 202
235590,2163 S FOX ST
235613,1565 S KNOX CT
236138,1995 UINTA ST
236149,1000 JULIAN ST
236159,2532 W 44TH AVE
236175,9700 E ILIFF AVE APT C34
236179,2671 W AMHERST AVE
236182,2440 S NEWTON ST
238056,4755 IRAN ST
238057,486 S BROADWAY
243800,4429 LEAF CT
243801,1131 S UTICA ST
243802,1222 QUITMAN ST
243807,1225 S FOREST ST
245043,1555 JULIAN ST
245047,3535 N ELIZABETH ST
245069,736 S CANOSA CT
245085,355 NEWTON ST
245091,1545 N OGDEN ST
245100,21591 E 46TH AVE
249668,4894 BEACH CT
258538,1780 W TENNESSEE AVE
260009,5104 CARSON ST
261167,3405 N FILLMORE ST
263783,1195 POPLAR ST
267598,4732 GAYLORD ST
268398,805 JULIAN ST
268399,1370 QUITMAN ST
276634,1940 BLAKE ST APT 301
276635,1250 STUART ST
276637,5052 SCRANTON ST
276653,2757 S KNOX CT
276660,1274 S QUITMAN ST
276662,1075 S PERRY ST
276666,4712 S XENIA ST
289465,7755 E QUINCY AVE # 303D4
291441,2210 W JEWELL AVE
291450,7995 E MISSISSIPPI AVE APT C2
292581,3651 GRAPE ST
292582,848 S DALE CT
292598,240 CHEROKEE ST
292599,4134 ODESSA ST
303140,1338 W ALASKA PL
323518,1196 N GRANT ST APT 510
323521,1919 S KEARNEY WAY
346064,3522 W 7TH AVE
346071,4580 W VASSAR AVE
346072,2050 W LOUISIANA AVE
346075,122 W HARVARD AVE
346082,2825 ELIOT ST
346086,3545 W WALSH PL
346104,1715 W FLORIDA AVE
348107,1735 S YUMA ST
348108,1590 S DALE CT
348112,2945 LAWRENCE ST
348113,4704 EUGENE WAY
350378,4542 SHERIDAN BLVD
352274,2849 N HUMBOLDT ST
352773,3925 N HUMBOLDT ST
354495,50 QUITMAN ST
362246,2220 W GILL PL
362247,4737 W BYERS PL
362248,1763 N CLARKSON ST
362261,4290 KNOX CT
365469,3090 N DOWNING ST
365470,3101 N MARION ST
368266,1411 TENNYSON ST
368267,5393 ATCHISON WAY
368724,1334 XAVIER ST
368741,4482 YATES ST
368748,4876 CORNISH CT
368754,4464 PENNSYLVANIA ST
370035,5988 W CRESTLINE AVE
370037,19543 E 42ND AVE
370040,1854 W 33RD AVE
370048,14312 E ELK DR
370558,12985 E 47TH AVENUE CIR
370561,3519 NEWTON ST
376875,220 S JULIAN ST APT B
376883,1631 ULSTER ST
376897,3041 QUEBEC ST
376908,3436 N HIGH ST
376913,3791 N FRANKLIN ST
376917,9370 E GIRARD AVE APT 11
377849,20916 E 39TH AVE
377874,3545 QUEBEC ST
377884,1365 COLUMBINE ST APT 506
377887,3527 W EXPOSITION AVE
379273,12235 E 55TH AVE
379706,14705 E 46TH AVE
379717,1740 S GILPIN ST
382846,5172 JASPER ST
382851,1263 S ALCOTT ST
388402,600 FILLMORE ST
388415,9126 E LEHIGH AVE
404833,3068 W 37TH AVE
404842,5081 ENID WAY
404858,4965 ADAMS ST
408931,37 S IRVING ST
408936,1470 S OSCEOLA ST
409418,4040 W EXPOSITION AVE
409419,2025 S JULIAN CIR
409422,6690 E MISSISSIPPI AVE
422003,5561 XANADU ST
424278,2635 HUDSON ST
424280,557 S NEWTON ST
424791,1830 S LOWELL BLVD
425445,3646 N CLAYTON ST
426883,4652 GENOA ST
426902,1745 WAZEE ST APT 2E
426908,14892 ELMENDORF PL
426911,1111 WABASH ST
426915,185 YOUNG CT
430048,2875 CENTRAL PARK BLVD
430589,220 S JULIAN ST APT A
433833,4448 SHOSHONE ST
433838,14845 ROBINS DR
433841,875 S QUEBEC ST APT 21
433843,7255 E QUINCY AVE APT 409
434856,575 S SHOSHONE ST
434866,2910 S SHERIDAN BLVD
434867,1845 W 46TH AVE
462608,4481 S XERIC WAY
467688,1150 S JACKSON ST
481317,4970 CLAY ST
505799,20861 E 40TH AVE
505802,3630 N MONACO STREET PKWY
505816,64 QUITMAN ST
505821,4138 NETHERLAND ST
505822,1175 S YATES ST
505828,4935 BRYANT ST
505833,4568 PECOS ST
506706,1801 S STUART ST
506718,1785 YOSEMITE ST
506728,2841 S SHERIDAN BLVD
506748,422 MEADE ST
506752,1404 KNOX CT
506764,5071 HELENA ST
509057,1462 S GARFIELD ST
509058,600 S DECATUR ST
509079,3410 N WILLIAMS ST
509097,1629 N CLARKSON ST APT 25
510628,1825 W 51ST AVE
510630,1225 NEWTON ST
510635,948 S NEWTON ST
510636,653 RALEIGH ST
511212,4875 S BALSAM WAY UNIT 5-104
511213,1100 S QUITMAN ST
511233,1665 S XAVIER ST
514156,4457 UMATILLA ST
521453,230 S SANTA FE DR
522744,4640 W 6TH AVE
523349,851 S ELIOT ST
524125,3304 W 38TH AVE
524126,4202 LIPAN ST
524135,446 SHERIDAN BLVD
524152,2640 N ADAMS ST
527114,1675 S PERRY ST
527117,5284 TITAN CT
527119,2020 ARAPAHOE ST
527120,4361 KIRK CT
527122,3745 FAIRFAX ST
536526,1335 S TENNYSON ST
536535,6875 E COLFAX AVE
536538,3554 DEXTER ST
536539,4528 W KENTUCKY AVE
536541,1820 S JULIAN ST
536555,15015 ROBINS DR
537825,2860 W AMHERST AVE
537831,5545 ZION CT
543217,925 N LINCOLN ST # C2-S
544644,3015 E COLFAX AVE
552130,8375 E 28TH AVE
556244,149 S IRVING ST
556250,2619 W 12TH AVE
556663,3130 W 38TH AVE UNIT 1
556668,4401 ZENOBIA ST
565059,1280 S CANOSA CT
565062,1634 S BEACH CT
567366,4860 SHOSHONE ST
567371,330 S IVY ST
567374,2955 S CLERMONT DR
567376,2535 NEWPORT ST
567384,5532 VICTOR ST
569160,1159 JOSEPHINE ST
569163,1545 S QUIVAS ST
569166,4832 KING ST
569174,18994 E 44TH AVE
569177,9995 E HARVARD AVE APT 213
569180,5549 ANAHEIM WAY
570812,849 S QUIETO WAY
571348,3631 PONTIAC ST
571362,1617 MONROE ST
582465,7695 E QUINCY AVE APT 304
582747,5000 W LAKERIDGE RD
589776,1659 QUEBEC ST
589777,4248 FILLMORE ST
589782,4724 W TUFTS CIR
590130,5538 TULSA WAY
590134,2330 ELIOT ST
590135,1720 S RARITAN ST
590507,1885 S QUEBEC WAY APT A14
590515,5512 CARSON ST
591070,2438 STOUT ST
591071,456 KING ST
595170,4304 MALAYA ST
595176,31 W MAPLE AVE
595183,5502 SABLE ST
595186,50 CLERMONT ST
